call_duration,correspondent_id,datetime,direction,interaction
,57875,2014-01-06 08:55:59,in,text
32,4583,2014-01-06 10:23:36,out,call
0,4583,2014-01-06 16:25:50,in,call
,991,2014-01-06 16:26:07,in,text
292,4583,2014-01-06 16:48:02,out,call
,57875,2014-01-06 18:20:46,in,text
,1031,2014-01-07 07:45:46,in,text
2,4583,2014-01-07 15:30:48,out,call
347,4583,2014-01-07 17:10:46,out,call
,5168,2014-01-08 10:11:45,out,text
,5168,2014-01-08 10:13:32,in,text
,5168,2014-01-08 10:13:57,out,text
0,5168,2014-01-08 13:56:04,out,call
86,5168,2014-01-08 14:11:49,out,call
18,2259,2014-01-08 16:43:38,out,call
1095,2259,2014-01-08 16:44:33,in,call
,2259,2014-01-09 09:10:28,in,text
,2259,2014-01-09 09:12:34,out,text
,2259,2014-01-09 09:13:37,in,text
,2259,2014-01-09 09:15:16,in,text
,57897,2014-01-09 09:42:49,in,text
,991,2014-01-09 11:36:43,in,text
2,4583,2014-01-10 14:13:15,out,call
2,2259,2014-01-10 14:14:05,out,call
126,4583,2014-01-10 14:14:45,in,call
163,2259,2014-01-10 14:17:15,in,call
,991,2014-01-10 15:03:53,in,text
19,2259,2014-01-10 18:30:47,in,call
0,2259,2014-01-10 18:54:20,out,call
24,2259,2014-01-10 18:56:36,in,call
,4144,2014-01-10 19:26:25,out,text
,4144,2014-01-10 19:27:22,in,text
,4144,2014-01-10 19:29:40,out,text
,4144,2014-01-10 19:30:18,in,text
,4144,2014-01-10 19:31:16,in,text
24,2259,2014-01-10 19:39:05,out,call
,22807,2014-01-10 19:51:35,in,text
,22807,2014-01-10 19:54:31,out,text
,22807,2014-01-10 19:56:04,out,text
,22807,2014-01-10 19:57:13,in,text
,4144,2014-01-10 20:28:28,out,text
,4144,2014-01-10 20:28:30,out,text
,4144,2014-01-10 20:28:38,out,text
158,15825,2014-01-11 11:01:16,out,call
,991,2014-01-11 11:42:05,in,text
204,5167,2014-01-11 15:30:49,in,call
106,5167,2014-01-11 16:07:56,out,call
222,5167,2014-01-11 16:13:55,out,call
93,5167,2014-01-11 19:28:27,out,call
,991,2014-01-11 19:34:43,in,text
,5167,2014-01-11 19:50:08,out,text
,5167,2014-01-11 19:50:52,in,text
,5167,2014-01-11 19:51:14,in,text
,5167,2014-01-11 19:52:50,out,text
,5167,2014-01-11 19:56:23,out,text
,5167,2014-01-11 19:56:50,in,text
,5167,2014-01-11 19:57:02,out,text
,5167,2014-01-11 19:57:21,out,text
,5167,2014-01-11 19:59:33,out,text
,5167,2014-01-11 20:00:13,in,text
,5167,2014-01-11 20:01:09,out,text
,5167,2014-01-11 20:01:53,in,text
119,2259,2014-01-11 20:32:35,out,call
,22807,2014-01-11 22:27:07,in,text
,22807,2014-01-11 23:04:09,out,text
79,22807,2014-01-11 23:04:44,out,call
,22807,2014-01-11 23:04:53,in,text
0,22807,2014-01-11 23:22:42,out,call
0,22807,2014-01-11 23:23:14,out,call
3,22807,2014-01-11 23:24:53,out,call
,2259,2014-01-12 09:19:44,in,text
,2259,2014-01-12 10:01:33,out,text
,2259,2014-01-12 10:02:14,in,text
21,15825,2014-01-12 17:35:17,out,call
,2259,2014-01-12 21:35:58,in,text
,2259,2014-01-12 23:39:36,out,text
,2259,2014-01-12 23:40:42,in,text
,2259,2014-01-13 07:18:20,in,text
,2259,2014-01-13 09:14:26,out,text
,2259,2014-01-13 09:18:44,in,text
,2259,2014-01-13 09:19:07,out,text
,2259,2014-01-13 09:20:37,in,text
,2259,2014-01-13 09:21:06,out,text
,2259,2014-01-13 09:21:41,in,text
0,15825,2014-01-13 09:55:43,out,call
0,15825,2014-01-13 11:34:50,in,call
,1128,2014-01-13 11:35:26,in,text
47,15825,2014-01-13 11:37:06,out,call
,1128,2014-01-13 14:40:27,in,text
,5168,2014-01-13 22:25:43,in,text
,5168,2014-01-13 23:11:34,out,text
,2259,2014-01-14 09:28:58,in,text
0,23159,2014-01-14 10:23:19,out,call
138,23159,2014-01-14 10:32:47,out,call
0,4583,2014-01-14 20:25:14,out,call
260,4583,2014-01-14 20:58:15,out,call
0,22207,2014-01-15 09:42:05,out,call
,1128,2014-01-15 09:42:50,in,text
82,22207,2014-01-15 11:31:23,out,call
102,22207,2014-01-15 11:39:33,out,call
205,21684,2014-01-15 11:53:17,out,call
,1128,2014-01-15 12:47:48,in,text
,5168,2014-01-15 13:07:02,in,text
,5168,2014-01-15 13:07:09,in,text
2,2259,2014-01-16 09:53:14,out,call
49,15183,2014-01-16 09:56:27,out,call
163,2259,2014-01-16 12:33:40,out,call
159,2259,2014-01-16 14:02:40,in,call
102,4583,2014-01-16 16:21:15,in,call
107,2679,2014-01-16 17:45:04,out,call
337,2259,2014-01-16 17:48:09,in,call
395,2259,2014-01-17 11:12:01,in,call
377,23287,2014-01-17 14:18:27,out,call
82,2465,2014-01-17 14:27:28,out,call
37,2259,2014-01-17 15:50:39,in,call
0,4583,2014-01-17 18:18:52,out,call
47,4583,2014-01-17 18:23:43,out,call
81,2259,2014-01-17 18:40:37,in,call
26,2259,2014-01-17 18:47:14,in,call
,5168,2014-01-17 19:11:18,out,text
15,4583,2014-01-17 19:17:10,out,call
,5168,2014-01-17 20:23:04,in,text
68,6028,2014-01-17 20:35:30,out,call
,5168,2014-01-17 20:51:19,out,text
,5168,2014-01-17 21:14:42,out,text
,5168,2014-01-18 01:19:04,in,text
18,23394,2014-01-18 13:10:36,out,call
