user1,user2,timestamp
218,382,0.0
575,59,12.0
96,634,15.0
301,300,30.0
321,322,58.0
59,575,78.0
673,113,80.0
673,637,80.0
128,540,88.0
622,39,106.0
180,166,134.0
39,622,139.0
36,37,148.0
37,36,180.0
12,13,188.0
333,641,190.0
300,301,196.0
405,162,216.0
91,90,222.0
14,111,226.0
104,288,262.0
382,218,267.0
90,91,268.0
556,372,269.0
218,382,300.0
485,166,325.0
301,300,330.0
59,575,378.0
176,578,383.0
673,637,385.0
622,39,406.0
39,622,438.0
111,14,442.0
36,37,448.0
634,96,467.0
37,36,480.0
333,641,490.0
300,301,490.0
114,376,508.0
405,162,511.0
14,111,527.0
306,16,530.0
104,288,562.0
90,91,568.0
382,218,568.0
91,90,582.0
218,382,600.0
575,59,612.0
485,180,625.0
485,166,625.0
301,300,631.0
96,634,637.0
288,104,658.0
59,575,678.0
673,113,684.0
673,637,684.0
376,114,684.0
128,540,688.0
622,39,706.0
39,622,736.0
111,14,741.0
36,37,748.0
180,485,765.0
634,96,767.0
37,36,780.0
300,301,790.0
114,376,808.0
306,16,829.0
104,288,862.0
382,218,867.0
90,91,868.0
143,671,876.0
91,90,883.0
218,382,900.0
575,59,919.0
485,166,925.0
485,180,925.0
301,300,931.0
96,634,944.0
288,104,960.0
673,637,980.0
376,114,984.0
176,578,985.0
622,39,1007.0
39,622,1041.0
36,37,1048.0
539,540,1050.0
634,96,1067.0
37,36,1080.0
300,301,1090.0
12,13,1096.0
405,162,1110.0
104,288,1162.0
382,218,1167.0
90,91,1168.0
91,90,1183.0
599,240,1192.0
218,382,1200.0
575,59,1219.0
485,180,1225.0
485,166,1225.0
301,300,1231.0
288,104,1259.0
558,494,1261.0
96,634,1262.0
59,575,1278.0
673,113,1280.0
673,637,1280.0
622,39,1310.0
13,12,1331.0
39,622,1341.0
111,14,1342.0
36,37,1349.0
180,485,1379.0
37,36,1380.0
421,14,1383.0
333,641,1390.0
300,301,1395.0
405,162,1411.0
14,421,1428.0
306,16,1429.0
104,288,1462.0
382,218,1468.0
90,91,1468.0
218,382,1500.0
575,59,1519.0
485,166,1525.0
485,180,1525.0
301,300,1533.0
558,494,1567.0
59,575,1578.0
673,113,1580.0
673,637,1580.0
176,578,1588.0
494,558,1603.0
622,39,1607.0
91,90,1622.0
96,634,1623.0
39,622,1641.0
36,37,1648.0
634,96,1667.0
37,36,1680.0
333,641,1690.0
300,301,1695.0
114,376,1709.0
405,162,1710.0
14,421,1727.0
104,288,1762.0
90,91,1768.0
382,218,1768.0
218,382,1800.0
575,59,1822.0
485,166,1825.0
301,300,1834.0
288,104,1859.0
558,494,1862.0
59,575,1878.0
673,637,1880.0
673,113,1880.0
376,114,1887.0
622,39,1907.0
91,90,1922.0
39,622,1935.0
96,634,1937.0
36,37,1948.0
634,96,1967.0
37,36,1980.0
300,301,1996.0
405,162,2010.0
14,421,2028.0
382,218,2068.0
90,91,2068.0
415,644,2076.0
218,382,2100.0
575,59,2122.0
485,166,2125.0
301,300,2133.0
288,104,2159.0
558,494,2162.0
59,575,2178.0
673,113,2182.0
673,637,2182.0
494,558,2203.0
622,39,2212.0
91,90,2222.0
39,622,2241.0
96,634,2242.0
36,37,2249.0
634,96,2267.0
37,36,2280.0
333,641,2290.0
300,301,2296.0
405,162,2312.0
14,421,2328.0
90,91,2368.0
382,218,2368.0
415,644,2376.0
218,382,2400.0
575,59,2422.0
485,166,2425.0
485,180,2425.0
301,300,2434.0
535,149,2456.0
288,104,2459.0
558,494,2462.0
59,575,2478.0
673,637,2480.0
494,558,2503.0
622,39,2509.0
91,90,2522.0
39,622,2541.0
96,634,2542.0
36,37,2548.0
634,96,2567.0
37,36,2580.0
333,641,2591.0
300,301,2596.0
306,16,2634.0
14,421,2645.0
104,288,2662.0
382,218,2668.0
415,644,2676.0
143,671,2677.0
90,91,2679.0
218,382,2700.0
485,166,2725.0
485,180,2725.0
301,300,2734.0
288,104,2759.0
421,14,2791.0
558,494,2796.0
128,540,2797.0
494,558,2803.0
622,39,2807.0
91,90,2833.0
39,622,2841.0
96,634,2842.0
36,37,2848.0
634,96,2867.0
37,36,2880.0
300,301,2896.0
373,465,2925.0
306,16,2934.0
382,218,2968.0
415,644,2976.0
143,671,2977.0
90,91,2978.0
218,382,3000.0
485,166,3025.0
485,180,3025.0
301,300,3042.0
321,322,3058.0
288,104,3059.0
59,575,3078.0
673,637,3084.0
176,578,3088.0
558,494,3097.0
128,540,3097.0
494,558,3103.0
622,39,3109.0
39,622,3136.0
91,90,3138.0
36,37,3148.0
96,634,3153.0
37,36,3180.0
634,96,3185.0
333,641,3190.0
300,301,3195.0
415,644,3276.0
90,91,3278.0
382,218,3281.0
218,382,3300.0
485,166,3325.0
575,59,3325.0
485,180,3325.0
301,300,3341.0
59,575,3378.0
376,114,3388.0
176,578,3389.0
421,14,3391.0
128,540,3397.0
494,558,3407.0
622,39,3407.0
91,90,3438.0
39,622,3441.0
36,37,3448.0
96,634,3452.0
37,36,3480.0
333,641,3490.0
300,301,3495.0
634,96,3496.0
114,376,3508.0
382,218,3581.0
90,91,3592.0
218,382,3600.0
485,166,3625.0
575,59,3625.0
301,300,3651.0
288,104,3659.0
59,575,3678.0
128,540,3697.0
421,14,3698.0
494,558,3704.0
673,637,3709.0
622,39,3710.0
39,622,3742.0
36,37,3748.0
206,560,3750.0
96,634,3753.0
37,36,3780.0
333,641,3790.0
91,90,3794.0
634,96,3796.0
300,301,3796.0
14,111,3854.0
104,288,3863.0
382,218,3881.0
90,91,3892.0
218,382,3900.0
485,166,3925.0
301,300,3951.0
288,104,3959.0
673,637,3999.0
494,558,4004.0
622,39,4007.0
558,494,4019.0
401,286,4030.0
39,622,4037.0
111,14,4046.0
36,37,4048.0
96,634,4053.0
37,36,4080.0
333,641,4090.0
91,90,4094.0
300,301,4096.0
634,96,4096.0
405,162,4113.0
556,372,4130.0
306,16,4134.0
14,111,4165.0
14,421,4165.0
143,671,4178.0
382,218,4181.0
218,382,4200.0
485,180,4225.0
485,166,4225.0
301,300,4251.0
90,91,4258.0
321,322,4258.0
288,104,4260.0
176,578,4289.0
494,558,4304.0
622,39,4310.0
558,494,4321.0
39,622,4342.0
111,14,4342.0
36,37,4348.0
96,634,4373.0
37,36,4380.0
300,301,4396.0
405,162,4413.0
634,96,4414.0
91,90,4416.0
306,16,4435.0
104,288,4462.0
14,421,4472.0
365,420,4482.0
218,382,4500.0
485,166,4525.0
485,180,4525.0
575,59,4525.0
301,300,4551.0
376,114,4590.0
494,558,4604.0
90,91,4605.0
622,39,4609.0
673,637,4617.0
558,494,4621.0
39,622,4642.0
36,37,4648.0
421,14,4656.0
96,634,4673.0
37,36,4680.0
300,301,4696.0
405,162,4714.0
634,96,4721.0
306,16,4735.0
104,288,4762.0
14,111,4764.0
382,218,4782.0
218,382,4800.0
485,180,4825.0
575,59,4825.0
485,166,4825.0
301,300,4851.0
288,104,4859.0
321,322,4859.0
91,90,4863.0
372,556,4864.0
59,575,4878.0
180,485,4885.0
176,578,4890.0
494,558,4904.0
90,91,4905.0
622,39,4909.0
673,253,4917.0
558,494,4922.0
39,622,4940.0
36,37,4948.0
37,36,4980.0
96,634,4982.0
421,14,4982.0
333,641,4992.0
300,301,4996.0
220,22,5011.0
306,16,5035.0
22,220,5036.0
104,288,5062.0
14,421,5065.0
634,96,5088.0
218,382,5100.0
485,166,5125.0
301,300,5150.0
321,322,5158.0
288,104,5160.0
372,556,5163.0
59,575,5178.0
494,558,5204.0
622,39,5207.0
673,253,5213.0
91,90,5225.0
90,91,5228.0
558,494,5239.0
39,622,5240.0
111,421,5246.0
36,37,5249.0
421,111,5279.0
37,36,5280.0
333,641,5293.0
300,301,5296.0
556,372,5313.0
22,220,5336.0
382,218,5381.0
634,96,5387.0
218,382,5401.0
485,166,5425.0
301,300,5450.0
321,322,5458.0
59,575,5478.0
494,558,5505.0
622,39,5507.0
128,540,5510.0
673,637,5517.0
176,578,5520.0
39,622,5536.0
111,421,5545.0
